generation,best_z1_eur,best_z2_m3
290,0.00,82829.11
291,0.00,82829.11
292,0.00,82829.11
293,0.00,82829.11
294,0.00,82829.11
295,0.00,82829.11
296,0.00,82829.11
297,0.00,82829.11
298,0.00,82829.11
299,0.00,82829.11
300,0.00,82829.11
