generation,best_z1_eur,best_z2_m3
290,0.00,35976.02
291,0.00,35976.02
292,0.00,35976.02
293,0.00,35976.02
294,0.00,35976.02
295,0.00,35976.02
296,0.00,35976.02
297,0.00,35976.02
298,0.00,35976.02
299,0.00,35976.02
300,0.00,35976.02
